"","id","name","parameters_id","datetime_first_utc","datetime_first_local","datetime_last_utc","datetime_last_local","min","max","avg","expected_count","expected_interval","observed_count","observed_interval","percent_complete","percent_coverage","latest_value","latest_datetime","latest_latitude","latest_longitude"
"1114",7776985,"pm10 µg/m³",1,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,190,13.5148953301127,1,"01:00:00",8669,"8669:00:00",866900,866900,18,2025-08-30 04:00:00,41.1024300001298,1.14954999962803
"1115",7777012,"pm25 µg/m³",2,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,168,6.54069298952458,1,"01:00:00",8613,"8613:00:00",861300,861300,6,2025-08-30 04:00:00,41.1024300001298,1.14954999962803
"1116",7870008,"pm10 µg/m³",1,2024-02-15 04:00:00,2024-02-15 05:00:00,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,245,17.4732476150975,1,"01:00:00",8612,"8612:00:00",861200,861200,12,2025-08-30 04:00:00,41.4756000001902,1.92320000005728
"1117",7772958,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,69,5.73857598299681,1,"01:00:00",8167,"8167:00:00",816700,816700,7,2025-08-30 05:00:00,39.9694000002856,0.00890000028692069
"1118",7775541,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,198,13.7611622962438,1,"01:00:00",8155,"8155:00:00",815500,815500,15,2025-08-30 05:00:00,39.9694000002856,0.00890000028692069
"1119",7774814,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,250,24.2486228424532,1,"01:00:00",8150,"8150:00:00",815000,815000,35,2025-08-30 04:00:00,39.4692199997491,-0.406049999671138
"1120",7773266,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,71,10.879221732746,1,"01:00:00",8139,"8139:00:00",813900,813900,18,2025-08-30 04:00:00,39.4692199997491,-0.406049999671138
"1121",7775097,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,448,8.77486910994764,1,"01:00:00",7540,"7540:00:00",754000,754000,13,2025-08-30 05:00:00,39.448329999771,-0.376470000009489
"1122",7775597,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,489,18.5442990654206,1,"01:00:00",7539,"7539:00:00",753900,753900,25,2025-08-30 05:00:00,39.448329999771,-0.376470000009489
"1123",7772960,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,106,6.03049759229534,1,"01:00:00",7080,"7080:00:00",708000,708000,6,2025-08-30 04:00:00,38.6394299999168,-0.872410000332738
